Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_18,VGND,li1,19.0900,21.7600,0.000000
FILLER_4_15,VGND,li1,17.7100,21.7600,0.000000
FILLER_4_12,VGND,li1,16.3300,21.7600,0.000000
FILLER_4_9,VGND,li1,14.9500,21.7600,0.000000
FILLER_4_6,VGND,li1,13.5700,21.7600,0.000000
FILLER_4_3,VGND,li1,12.1900,21.7600,0.000000
FILLER_3_60,VGND,li1,37.9500,21.7600,0.000000
FILLER_3_57,VGND,li1,37.0300,21.7600,0.000000
FILLER_3_53,VGND,li1,35.1900,21.7600,0.000000
FILLER_3_50,VGND,li1,33.8100,21.7600,0.000000
FILLER_3_47,VGND,li1,32.4300,21.7600,0.000000
FILLER_3_44,VGND,li1,31.0500,21.7600,0.000000
FILLER_3_41,VGND,li1,29.6700,21.7600,0.000000
FILLER_3_38,VGND,li1,28.2900,21.7600,0.000000
FILLER_3_35,VGND,li1,26.9100,21.7600,0.000000
FILLER_3_32,VGND,li1,25.5300,21.7600,0.000000
FILLER_3_27,VGND,li1,23.0000,21.7600,0.000000
FILLER_3_24,VGND,li1,21.8500,21.7600,0.000000
FILLER_3_21,VGND,li1,20.4700,21.7600,0.000000
FILLER_3_18,VGND,li1,19.0900,21.7600,0.000000
FILLER_3_15,VGND,li1,17.7100,21.7600,0.000000
FILLER_3_12,VGND,li1,16.3300,21.7600,0.000000
FILLER_3_9,VGND,li1,14.9500,21.7600,0.000000
FILLER_3_6,VGND,li1,13.5700,21.7600,0.000000
FILLER_3_3,VGND,li1,12.1900,21.7600,0.000000
FILLER_2_59,VGND,li1,37.7200,16.3200,0.000000
FILLER_2_56,VGND,li1,36.5700,16.3200,0.000000
FILLER_2_53,VGND,li1,35.1900,16.3200,0.000000
FILLER_2_50,VGND,li1,33.8100,16.3200,0.000000
FILLER_2_47,VGND,li1,32.4300,16.3200,0.000000
FILLER_2_44,VGND,li1,31.0500,16.3200,0.000000
FILLER_2_41,VGND,li1,29.6700,16.3200,0.000000
FILLER_2_38,VGND,li1,28.2900,16.3200,0.000000
FILLER_2_35,VGND,li1,26.9100,16.3200,0.000000
FILLER_2_32,VGND,li1,25.5300,16.3200,0.000000
FILLER_2_29,VGND,li1,24.1500,16.3200,0.000000
FILLER_2_27,VGND,li1,22.7700,16.3200,0.000000
FILLER_2_24,VGND,li1,21.8500,16.3200,0.000000
FILLER_2_21,VGND,li1,20.4700,16.3200,0.000000
FILLER_2_18,VGND,li1,19.0900,16.3200,0.000000
FILLER_2_15,VGND,li1,17.7100,16.3200,0.000000
FILLER_2_12,VGND,li1,16.3300,16.3200,0.000000
FILLER_2_9,VGND,li1,14.9500,16.3200,0.000000
FILLER_2_6,VGND,li1,13.5700,16.3200,0.000000
FILLER_2_3,VGND,li1,12.1900,16.3200,0.000000
FILLER_1_60,VGND,li1,37.9500,16.3200,0.000000
FILLER_1_57,VGND,li1,37.0300,16.3200,0.000000
FILLER_1_54,VGND,li1,35.4200,16.3200,0.000000
FILLER_1_51,VGND,li1,34.2700,16.3200,0.000000
FILLER_1_48,VGND,li1,32.8900,16.3200,0.000000
FILLER_1_45,VGND,li1,31.5100,16.3200,0.000000
FILLER_1_42,VGND,li1,30.1300,16.3200,0.000000
FILLER_1_39,VGND,li1,28.7500,16.3200,0.000000
FILLER_1_36,VGND,li1,27.3700,16.3200,0.000000
FILLER_1_33,VGND,li1,25.9900,16.3200,0.000000
FILLER_1_30,VGND,li1,24.6100,16.3200,0.000000
FILLER_1_27,VGND,li1,23.2300,16.3200,0.000000
FILLER_1_24,VGND,li1,21.8500,16.3200,0.000000
FILLER_1_21,VGND,li1,20.4700,16.3200,0.000000
FILLER_1_18,VGND,li1,19.0900,16.3200,0.000000
FILLER_1_15,VGND,li1,17.7100,16.3200,0.000000
FILLER_1_12,VGND,li1,16.3300,16.3200,0.000000
FILLER_1_9,VGND,li1,14.9500,16.3200,0.000000
FILLER_1_6,VGND,li1,13.5700,16.3200,0.000000
FILLER_1_3,VGND,li1,12.1900,16.3200,0.000000
FILLER_0_60,VGND,li1,37.9500,10.8800,0.000001
FILLER_0_57,VGND,li1,37.0300,10.8800,0.000001
FILLER_0_53,VGND,li1,35.1900,10.8800,0.000001
FILLER_0_50,VGND,li1,33.8100,10.8800,0.000001
FILLER_0_47,VGND,li1,32.4300,10.8800,0.000001
FILLER_0_44,VGND,li1,31.0500,10.8800,0.000001
FILLER_0_41,VGND,li1,29.6700,10.8800,0.000001
FILLER_0_32,VGND,li1,25.0700,10.8800,0.000001
FILLER_0_29,VGND,li1,24.1500,10.8800,0.000001
FILLER_0_27,VGND,li1,22.7700,10.8800,0.000001
FILLER_0_24,VGND,li1,21.8500,10.8800,0.000001
FILLER_0_21,VGND,li1,20.4700,10.8800,0.000001
FILLER_0_18,VGND,li1,19.0900,10.8800,0.000001
FILLER_0_15,VGND,li1,17.7100,10.8800,0.000001
FILLER_0_12,VGND,li1,16.3300,10.8800,0.000001
FILLER_0_9,VGND,li1,14.9500,10.8800,0.000001
FILLER_0_6,VGND,li1,13.5700,10.8800,0.000001
FILLER_0_3,VGND,li1,12.1900,10.8800,0.000001
output3,VGND,li1,34.0400,27.2000,0.000008
input2,VGND,li1,27.1400,10.8800,0.000001
input1,VGND,li1,13.3400,27.2000,0.000014
TAP_TAPCELL_ROW_9_31,VGND,li1,36.1100,37.7880,0.000000
TAP_TAPCELL_ROW_9_30,VGND,li1,23.2300,37.7880,0.000000
TAP_TAPCELL_ROW_8_29,VGND,li1,23.2300,32.9310,0.000000
TAP_TAPCELL_ROW_7_28,VGND,li1,36.1100,32.3480,0.000000
TAP_TAPCELL_ROW_6_27,VGND,li1,23.2300,27.4910,0.000012
TAP_TAPCELL_ROW_5_26,VGND,li1,36.1100,26.9080,0.000008
TAP_TAPCELL_ROW_4_25,VGND,li1,23.2300,22.0510,0.000000
TAP_TAPCELL_ROW_3_24,VGND,li1,36.1100,21.4680,0.000000
TAP_TAPCELL_ROW_2_23,VGND,li1,23.2300,16.6110,0.000000
TAP_TAPCELL_ROW_1_22,VGND,li1,36.1100,16.0280,0.000000
TAP_TAPCELL_ROW_0_21,VGND,li1,36.1100,11.1710,0.000001
TAP_TAPCELL_ROW_0_20,VGND,li1,23.2300,11.1710,0.000001
PHY_EDGE_ROW_9_Left_19,VGND,li1,10.8100,38.0800,0.000000
PHY_EDGE_ROW_8_Left_18,VGND,li1,10.8100,32.6400,0.000000
PHY_EDGE_ROW_7_Left_17,VGND,li1,10.8100,32.6400,0.000000
PHY_EDGE_ROW_6_Left_16,VGND,li1,10.8100,27.2000,0.000014
PHY_EDGE_ROW_5_Left_15,VGND,li1,10.8100,27.2000,0.000014
PHY_EDGE_ROW_4_Left_14,VGND,li1,10.8100,21.7600,0.000000
PHY_EDGE_ROW_3_Left_13,VGND,li1,10.8100,21.7600,0.000000
PHY_EDGE_ROW_2_Left_12,VGND,li1,10.8100,16.3200,0.000000
PHY_EDGE_ROW_1_Left_11,VGND,li1,10.8100,16.3200,0.000000
PHY_EDGE_ROW_0_Left_10,VGND,li1,10.8100,10.8800,0.000001
PHY_EDGE_ROW_9_Right_9,VGND,li1,38.8700,38.0800,0.000000
PHY_EDGE_ROW_8_Right_8,VGND,li1,38.8700,32.6400,0.000000
PHY_EDGE_ROW_7_Right_7,VGND,li1,38.8700,32.6400,0.000000
PHY_EDGE_ROW_6_Right_6,VGND,li1,38.8700,27.2000,0.000008
PHY_EDGE_ROW_5_Right_5,VGND,li1,38.8700,27.2000,0.000008
PHY_EDGE_ROW_4_Right_4,VGND,li1,38.8700,21.7600,0.000000
PHY_EDGE_ROW_3_Right_3,VGND,li1,38.8700,21.7600,0.000000
PHY_EDGE_ROW_2_Right_2,VGND,li1,38.8700,16.3200,0.000000
PHY_EDGE_ROW_1_Right_1,VGND,li1,38.8700,16.3200,0.000000
PHY_EDGE_ROW_0_Right_0,VGND,li1,38.8700,10.8800,0.000001
_2_,VGND,li1,20.9300,27.2000,0.000014
_1_,VGND,li1,24.1500,21.7600,0.000000
